%-)|emoji.|user has been staring at a green screen for 15 hours straight
:female_detective:|emoji.|sleuth or spy, variation selector-16, zero width joiner, female sign, variation selector-16
:ferris_wheel:|emoji.|ferris wheel
:ferry:|emoji.|ferry
:field_hockey:|emoji.|field hockey stick and ball
:fiji:|emoji.|regional indicator symbol letter f, regional indicator symbol letter j
:file_cabinet:|emoji.|file cabinet
:file_folder:|emoji.|file folder
:film_projector:|emoji.|film projector
:film_strip:|emoji.|film frames
:finland:|emoji.|regional indicator symbol letter f, regional indicator symbol letter i
:fire:|emoji.|fire
:fire_engine:|emoji.|fire engine
:fireworks:|emoji.|fireworks
:first_quarter_moon:|emoji.|first quarter moon symbol
:first_quarter_moon_with_face:|emoji.|first quarter moon with face
:fish:|emoji.|fish
:fish_cake:|emoji.|fish cake with swirl design
:fishing_pole_and_fish:|emoji.|fishing pole and fish
:fist_left:|emoji.|left-facing fist
:fist_oncoming:|emoji.|fisted hand sign
:fist_raised:|emoji.|raised fist
:fist_right:|emoji.|right-facing fist
:five:|emoji.|5, variation selector-16, combining enclosing keycap
:flags:|emoji.|carp streamer
:flashlight:|emoji.|electric torch
:fleur_de_lis:|emoji.|fleur-de-lis, variation selector-16
:flight_arrival:|emoji.|airplane arriving
:flight_departure:|emoji.|airplane departure
:floppy_disk:|emoji.|floppy disk
:flower_playing_cards:|emoji.|flower playing cards
:flushed:|emoji.|flushed face
:fog:|emoji.|fog
:foggy:|emoji.|foggy
:football:|emoji.|american football
:footprints:|emoji.|footprints
:fork_and_knife:|emoji.|fork and knife
:fountain:|emoji.|fountain, variation selector-16
:fountain_pen:|emoji.|lower left fountain pen
:four:|emoji.|4, variation selector-16, combining enclosing keycap
:four_leaf_clover:|emoji.|four leaf clover
:fox_face:|emoji.|fox face
:fr:|emoji.|regional indicator symbol letter f, regional indicator symbol letter r
:framed_picture:|emoji.|frame with picture
:free:|emoji.|squared free
:french_guiana:|emoji.|regional indicator symbol letter g, regional indicator symbol letter f
:french_polynesia:|emoji.|regional indicator symbol letter p, regional indicator symbol letter f
:french_southern_territories:|emoji.|regional indicator symbol letter t, regional indicator symbol letter f
:fried_egg:|emoji.|cooking
:fried_shrimp:|emoji.|fried shrimp
:fries:|emoji.|french fries
:frog:|emoji.|frog face
:frowning:|emoji.|frowning face with open mouth
:frowning_face:|emoji.|white frowning face, variation selector-16
:frowning_man:|emoji.|person frowning, zero width joiner, male sign, variation selector-16
:frowning_woman:|emoji.|person frowning
:fuelpump:|emoji.|fuel pump, variation selector-16
:full_moon:|emoji.|full moon symbol
:full_moon_with_face:|emoji.|full moon with face
:funeral_urn:|emoji.|funeral urn, variation selector-16
